"","Diplomatic","Economic","Military","Cultural","Disasters","Domestic","Obituaries","Sports","Weddings"
"(Intercept)",1.48240893667561,0.809621653135329,0.0634663217780196,0.34485417701751,-1.57563604546755,1.36497971799052,-1.03692012037618,0.214969843281498,-1.66774448403476
"democrat",0,0,0,0,0,0.0109849353656822,0,0,0
"vote",0,0,0,0,0,0.288388441113067,0,0,0
"trade",0,0.65738750228923,0,0,0,0,0,0,0
"secretari",0.203644361226701,0,0,0,0,0,0,0,0
"ton.ya",0,0,0,0.447539133776267,0,0,0,0,0
"tonya",0,0,0,0.000179084240270082,0,0,0,0,0
"relat",0.124311738355787,0,0,0,0,0,0,0,0
"competit",0,0,0,0,0,0,0,0.242425888884846,0
"golfer",0,0,0,0,0,0,0,1.12146597780838,0
"profession",0,0,0,0,0,0,0,0.00256532047460829,0
"lineup",0,0,0,1.23278218624209,0,0,0,0,0
"film",0,0,0,0.0421742809274992,0,0,0,0,0
"polit",0,0,0,0,0,0.457824849950178,0,0,0
"iraq",0,0,0.360218024356576,0,0,0,0,0,0
"like",0,0,0,0.256296397484044,0,0,0,0,0
"call",0,0,0,0,0,0.0208410970641139,0,0,0
"love",0,0,0,0.61652294498362,0,0,0,0,0
"today",0.110664351969088,0,0,0,0,0,0,0,0
"play",0,0,0,0.360379696133748,0,0,0,0,0
"minist",0.42351788629587,0,0,0,0,0,0,0,0
"law",0,0,0,0,0,0.0335399602908484,0,0,0
"rule",0,0,0,0,0,0.20645299394721,0,0,0
"charg",0,0,0,0,0,0.00638227694200875,0,0,0
"occup",0.848799896851407,0,0,0,0,0,0,0,0
"famili",0,0,0,0.156738386646203,0,0,0,0,0
"governor",0,0,0,0,0,0.278826626580381,0,0,0
"forc",0,0,0.387027504554722,0,0,0,0,0,0
"year",0,0,0,0.125508791331159,0,0,0,0,0
"mexican",0.097966223339056,0,0,0,0,0,0,0,0
"citi",0,0,0,0,0,0.000681179382225267,0,0,0
"right",0.027010616888298,0,0,0,0,0,0,0,0
"avenu",0,0,0,0.323533205623419,0,0,0,0,0
"album",0,0,0,1.39652888455738,0,0,0,0,0
"gov",0,0,0,0,0,1.19963944458063,0,0,0
"sudden",0,0,0,0,0,0.928996307948894,0,0,0
"attack",0,0,0.569360468598702,0,0,0,0,0,0
"die",0,0,0,0,0,0,1.68229617342858,0,0
"sister",0,0,0,0,0,0,2.68678929740478,0,0
"visit",0.317918779521498,0,0,0,0,0,0,0,0
"vacat",0,0,0,0.154568498128392,0,0,0,0,0
"open",0,0,0,0.304570729935012,0,0,0,0,0
"white",0,0,0,0.300077419368963,0,0,0,0,0
"general",0,0,0,0,0,0.0819034253825416,0,0,0
"devot",0,0,0,0,0,0,3.32037356304435,0,0
"belov",0,0,0,0,0,0,8.96421168533535e-15,0,0
"unit",0.0193003393008554,0,0,0,0,0,0,0,0
"front",0,0,0.735609729426825,0,0,0,0,0,0
"parti",0,0,0,0,0,0.2905260376304,0,0,0
"accus",0,0,0,0,0,0.0202545830267778,0,0,0
"wine",0,0,0,0,0,0.670480749194244,0,0,0
"compani",0,0.09527539413709,0,0,0,0,0,0,0
"corpor",0,0.0324401037823884,0,0,0,0,0,0,0
"price",0,0.586854660303507,0,0,0,0,0,0,0
"continent",0,0.640433610507761,0,0,0,0,0,0,0
"plant",0,0.141454225315081,0,0,0,0,0,0,0
"yesterday",-0.0646250675359213,0,0,0,0,0,0,0,0
"export",0,0.207341262034283,0,0,0,0,0,0,0
"nation",0.0507885487379911,0,0,0,0,0,0,0,0
"measur",0.27596272306768,0,0,0,0,0,0,0,0
"stronger",0.245522184777054,0,0,0,0,0,0,0,0
"polic",0,0,0,0,0,0.860822286008292,0,0,0
"worker",0,0.364128913652436,0,0,0,0,0,0,0
"billion",0,0.18930771703877,0,0,0,0,0,0,0
"dollar",0,0.272718537616324,0,0,0,0,0,0,0
"persuad",0,0.359063846038639,0,0,0,0,0,0,0
"emeritus",0,0,0,0,0,0,2.62717842382138,0,0
"peac",0.322876968950179,0,0,0,0,0,0,0,0
"graduat",0,0,0,0,0,0,0,0,0.811254336114364
"u.",0.0342995400715093,0,0,0,0,0,0,0,0
"jacki",0,0,0,0.0010846783890829,0,0,0,0,0
"rosenberg",0,0,0,8.33898819066891e-15,0,0,0,0,0
"ca",0,0,0,1.51617967103071e-15,0,0,0,0,0
"econom",0,0.24195181583646,0,0,0,0,0,0,0
"form",0,0,0,0,0,0.86190319040365,0,0,0
"elect",0,0,0,0,0,0.160227860017992,0,0,0
"weak",0,0,0,0,0,0.0197573210500606,0,0,0
"save",0,0,0,0,0,0.80063556423119,0,0,0
"qualifi",0,0,0,0,0,0,0,0.0334836411084675,0
"import",0,0.0790107544019474,0,0,0,0,0,0,0
"base",0,0,0.0599592546942421,0,0,0,0,0,0
"field",0,0,0,0,0,0,0,1.25835928639659,0
"diplomat",0.748393247803226,0,0,0,0,0,0,0,0
"beach",0,0,0,2.14817737035777,0,0,0,0,0
"hazard",0,0,0,0,0,0.0944181310222376,0,0,0
"legisl",0,0,0,0,0,0.377200268125658,0,0,0
"alli",0.0999249487886976,0,0,0,0,0,0,0,0
"olymp",0,0,0,0,0,0,0,0.467187735232548,0
"detect",0.647191626282496,0,0,0,0,0,0,0,0
"store",0,0,0,0.276238121555974,0,0,0,0,0
"hofman.jason",0,0,0,0,0,0,1.86187733310103,0,0
"deepest",0,0,0,0,0,0,0.000253035291595256,0,0
"sympathi",0,0,0,0,0,0,7.57754130093101e-15,0,0
"view",0,0,0,0,0,0.187025084867633,0,0,0
"radio",0,0,0.468987819230221,0,0,0,0,0,0
"feder",0,0,0,0,0,0.489544033883632,0,0,0
"becom",0,0,0,0,0,0.27036394414093,0,0,0
"win",0,0,0,0,0,0,0,0.762704425074499,0
"birth",0,0,0,0,0,0.723345342719848,0,0,0
"england",-0.0160311045068595,0,0,0,0,0,0,0,0
"befor",0,0,0,0,0,0.014760746670462,0,0,0
"examin",0,0,0,0,0,0.1768468817759,0,0,0
"compar",0,0.584682292380539,0,0,0,0,0,0,0
"rate",0,0.696799492199153,0,0,0,0,0,0,0
"except",0,0,0,0,0,0.370128097663162,0,0,0
"temperatur",0,0,0,0,0,0.820274835257697,0,0,0
"per",0,0.576099270642902,0,0,0,0,0,0,0
"billboard",0,0,0,0.753836164900709,0,0,0,0,0
"teenag",0,0,0,0.322957012607989,0,0,0,0,0
"erot",0,0,0,0.345495250058962,0,0,0,0,0
"life",0,0,0,0.890465236814813,0,0,0,0,0
"marri",0,0,0,0,0,0,0,0,3.67739000013108
"bride",0,0,0,0,0,0,0,0,0.834654835303701
"practic",0,0,0,0,0,0,0,0.555218074428298,0
"race",0,0,0,0,0,0,0,0.724211523042331,0
"corrupt",0,0,0,0,0,0.0702922661023624,0,0,0
"zaccaro",0,0,0,0,0,0,0.629933658508526,0,0
"bartend",0,0,0,0,0,0,3.83587859537937e-13,0,0
"jennif",0,0,0,0,0,0,0.00018070583960939,0,0
"second",0,0,0,0,0,0,0,0.0713394260243004,0
"art",0,0,0,0.671869554738403,0,0,0,0,0
"swim",0,0,0,0,0,0,0,0.813053945741737,0
"network",0,0,0,0.000160965337332122,0,0,0,0,0
"bank",0,0.333557373659864,0,0,0,0,0,0,0
"treati",0.805847085277309,0,0,0,0,0,0,0,0
"russian",0.73724052719794,0,0,0,0,0,0,0,0
"write",0,0,0,0,0,0.162752674470963,0,0,0
"man",0,0,0,0.639241508884488,0,0,0,0,0
"autumn",0,0,0,0.358513827075901,0,0,0,0,0
"pictur",0,0,0,0.261018289774066,0,0,0,0,0
"footbal",0,0,0,0,0,0,0,1.74291054968841,0
"silverman",0,0,0,0,0,0,0.0963031793212478,0,0
"livingston",0,0,0,0,0,0,4.55089256554501e-15,0,0
"sport",0,0,0,0,0,0,0,1.22053557031087,0
"steroid",0,0,0,0,0,0,0,0.219055670729665,0
"stood",0,0,0,0,0,0.303670510653073,0,0,0
"enforc",0,0,0,0,0,0.480277939147392,0,0,0
"deterior",0,0.152162860779683,0,0,0,0,0,0,0
"serv",0,0,0,0.271932183649817,0,0,0,0,0
"movi",0,0,0,1.12991088167639,0,0,0,0,0
"reserv",0,0.387703875715661,0,0,0,0,0,0,0
"point",0.446975617284161,0,0,0,0,0,0,0,0
"rudolph",0,0,0,0,0,0.253700331218041,0,0,0
"militari",0,0,0.490350971438341,0,0,0,0,0,0
"instal",0,0,0,1.19863504239004,0,0,0,0,0
"sunni",0,0,0,0.540672182412691,0,0,0,0,0
"chore",0,0,0,0.503272825703364,0,0,0,0,0
"columbia",0,0,0,0,0,0,0,0.475636249777006,0
"bomber",0,0,0.261347033271059,0,0,0,0,0,0
"flow",0,0,0,0.09569649475055,0,0,0,0,0
"bowersock.jeffrey",0,0,0,0,0,0,1.87830762548308,0,0
"christin",0,0,0,0,0,0,1.81861878201837e-14,0,0
"british",0,0,0.0258780833666748,0,0,0,0,0,0
"judgment",0,0,0,0.890275676370077,0,0,0,0,0
"sale",0,0.459417477154146,0,0,0,0,0,0,0
"cent",0,0.076442549133227,0,0,0,0,0,0,0
"season",0,0,0,0.00402503948911219,0,0,0,0,0
"umpir",0,0,0,0,0,0,0,1.06757910163805,0
"drill",0,0,0,0,0,0,0,0.621917790998308,0
"carol",0,0,0,0,0,0,0.580566914214124,0,0
"novelist",0,0,0,0,0,0,6.06172830622313e-15,0,0
"illumin",0,0,0,0,0,0,0.000128888228759975,0,0
"ordinari",0,0,0,0,0,0,1.51543207655578e-15,0,0
"canada",0,0.501745589159894,0,0,0,0,0,0,0
"peter",0,0,0,0,0,0,0,0.29793927009337,0
"custom.hous",0,0,0,0.400953022412962,0,0,0,0,0
"lenient",0,0,0,5.14755266287128e-14,0,0,0,0,0
