---	abandon	abandon	;oy 25 jul 2003
100	abandon	said TARGET must abandon policy	;ab 10 jul 2003
0874	abandon	abandon headquarters	;ab 10 nov 2005
0874	abandon	abandon stronghold	;jap 9/5/01
0874	abandon	abandon outpost in_	;jap 22 feb 2002
---	abandon	crew abandon ship	;ab 31 dec 2005
---	abandon	abandon re-trial	;ab 31 dec 2005
080	abandon	abandon attempt	;oy 14 mar 2006
---	abandon	abandon plan_	;ab 02 dec 2005
160	abandon	abandon TARGET party	;oy 16 mar 2006
196	abandon	abandon truce	
160	abandon	abandon role	;oy 21 jul 2003
181	abduct	abduct	;shan   7/24/93
181	abduct	TARGET abduct at_ gunpoint from car SOURCE	;sls 28 mar 2008
0841	abduct	TARGET hostage abduct in_ SOURCE freed	;sls 28 mar 2008
1823	abduct	abduct_and_killed by_ SOURCE	;sks 18 mar 2008
181	abduct	abduct after attack	;ab 31 dec 2005
181	abduct	TARGET hostage abduct in_ SOURCE	;sks 18 mar 2008
181	abduct	abduct of_ TARGET in_ SOURCE	;jon 5/26/95
181	abduct	TARGET abduct by_ SOURCE	;bert 12/31/97
181	abduct	TARGET in_ SOURCE { was | were } abduct	;sls 21 sep 2007
---	abide	abide	;shan   2/20/93
120	abide	would not abide	
120	abide	fail abide	;jon 5/8/95
---	abort	abort	;ns 28 feb 2002
164	abort	abort meeting with_ TARGET negotiators	;ns 28 feb 2002
---	absolve	absolve	;ab 31 dec 2005
080	absolve	TARGET was_absolve in_ SOURCE	;hux 12/28/97
---	abstain	abstain	;jw   10/25/91
087	abstain	abstain from violence	;ab 10 nov 2005
---	abus	abus	;sls 09 oct 2007
182	abus	abus TARGET prisoner	;sls 09 oct 2007
---	accelerat	accelerat	;sls 24 sep 2007
154	accelerat	accelerat deployment to_	;sls 28 nov 2007
154	accelerat	accelerat buildup force	;sls 24 sep 2007
---	accept	accept	;jw   11/14/91
102	accept	must_ accept of_ TARGET government	;spk 30 jan 2008
071	accept	accept loan from_	;spk 07 mar 2008
014	accept	will decide whether to_ accept	
031	accept	accept request join mission	;ab 10 nov 2005
083	accept	accept election_ deadline	;ai 05 may 2008
015	accept	accept_responsibility	;jap 25 jun 2003
120	accept	said would never accept	
120	accept	cannot accept proposal	;ab 31 dec 2005
037	accept	accept plan to_ resolve	;sls 01 mar 2008
1245	accept	not accept peacekeep	;bnl 06 may 2003
---	accept	leaned toward accept	;jap 25 jun 2003
063	accept	accept jurisdiction	;ab 10 nov 2005
051	accept	accept right to exist	;ab 31 dec 2005
120	accept	not accept proposal	; pas 98.3.2
030	accept	accept formulation	;ab 31 dec 2005
070	accept	accept delivery by_ SOURCE	;ns 04 feb 2002
038	accept	accept arbitration	;oy 25 jul 2003
100	accept	would_only_accept	;oy 25 jul 2003
0333	accept	will accept refugee	;ms 18 dec 2007
036:036	accept	accept invitation	;oy 21 jul 2003
038	accept	accept mediation	
083	accept	accept election_	;ai 05 may 2008
032	accept	accept proposal	
012	accept	unlikely accept	
100!	accept	force to_ accept	
120	accept	does not accept	
030	accept	accept request	
015	accept	accept charges	
022	accept	prod to_ accept	;ab 02 dec 2005
020	accept	said accept if_	;jap 25 jun 2003
080	accept	accept TARGET refusal	;oy 18 mar 2006
030	accept	accept TARGET treaty	;ab 31 dec 2005
120	accept	cannot accept	;lrp 31 aug 2005
120	accept	never accept	;bnl 14 jan 2002
030	accept	accept TARGET plan	;ab 31 dec 2005
120	accept	not accept	
030	accept	TARGET had accept SOURCE	;ab 10 nov 2005
---	according	according	;sls 25 mar 2008
###	according	according_to_a_poll	;sls 25 mar 2008
112	accus	accus	;jw   11/14/91
1123	accus	trial in_ TARGET accus of_ attack in_ SOURCE	;ms 13 mar 2008
112:112	accus	BOTHST accus of_	;spk 01 apr 2008
112	accus	TARGET accus_of	;ms 27 mar 2008
1125	accus	accus of_spying_in_ SOURCE	;ms 19 may 2008
1125	accus	accus of_ spying for_	;ms 19 may 2008
1121	accus	accus prime minister ENTITYSKIP	;elh 20 may 2008
080	accus	TARGET accus criticising cleared of charges	;ss 25 jun 2007
1122	accus	accus of_ violat humanitarian law	;mdc 28 nov 2006
115	accus	accus on orders from TARGET go on trial in SOURCE	;sls 13 jul 2007
1123	accus	accus TARGET taking part in_ attack on_ SOURCE	;sls 08 oct 2007
173	accus	TARGET accus of_ face criminal charge	;jap 25 jun 2003
1122	accus	accus detention_and_torture	;tb 15 aug 2006
173	accus	TARGET accus_of_ back in_ detention	;jap 25 jun 2003
1123	accus	accus TARGET of_ violat sovereignty	;oy 05 mar 2006
1124	accus	accus TARGET of_ trying to_ destroy	;ab 31 dec 2005
175	accus	accus of_ killing TARGET in custody	;oy 13 mar 2006
173	accus	TARGET accus of_ court appearance	;jap 25 jun 2003
173	accus	TARGET accus of_ were arrested by_ SOURCE	;jap 25 jun 2003
1123	accus	accus launching offensive	;ab 02 dec 2005
1124	accus	accus TARGET of_ ethnic cleansing	;oy 13 mar 2006
1124	accus	accus TARGET geneva_convention	;ss 22 jun 2007
173	accus	TARGET accus of_ was arrested by_ SOURCE	;jap 25 jun 2003
1123	accus	accus breaking ceasefire	;ab 02 dec 2005
1123	accus	accus TARGET of_ enter territory	;oy 10 oct 2006
1123	accus	accus TARGET of_ plot aggression	;sls 06 oct 2007
1123	accus	accus TARGET of_ sabre-rattling	;sls 27 mar 2008
1123	accus	accus TARGET of_ killing dozen	;hux 1/6/98
112	accus	accus of_carrying_out SOURCE	
1122	accus	accus TARGET of_ rights abuses	;lrp 29 jul 2005
112	accus	accus TARGET in_ radio message	;sms 14 sep 2007
1123	accus	accus TARGET of_ expansionism	;sls 04 oct 2007
1124	accus	TARGET accus of_ war crimes by_ SOURCE	;sls 18 mar 2008
173	accus	TARGET accus of_ was taken by_ SOURCE	;jap 25 jun 2003
